bandits,model,algorithm,prompt_type,standard_deviation,accuracy,game,model_prompt_name
"[<__main__.GaussianBandit object at 0x00000276E01AC9D0>, <__main__.GaussianBandit object at 0x00000276E01AC390>, <__main__.GaussianBandit object at 0x00000276E01AC110>]",gpt-4-turbo,intuitive,singletoken,28,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E01AD1D0>, <__main__.GaussianBandit object at 0x00000276E01AEAD0>, <__main__.GaussianBandit object at 0x00000276E01AD390>]",gpt-4-turbo,intuitive,singletoken,32,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E01AFD90>, <__main__.GaussianBandit object at 0x00000276E01ACF50>, <__main__.GaussianBandit object at 0x00000276E01AF010>]",gpt-4-turbo,intuitive,singletoken,38,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E01AF190>, <__main__.GaussianBandit object at 0x00000276E01AEBD0>, <__main__.GaussianBandit object at 0x00000276E01ADDD0>]",gpt-4-turbo,intuitive,singletoken,43,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E01AE6D0>, <__main__.GaussianBandit object at 0x00000276E01ADC10>, <__main__.GaussianBandit object at 0x00000276E01AFB50>]",gpt-4-turbo,intuitive,singletoken,47,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E01AF650>, <__main__.GaussianBandit object at 0x00000276E01AD7D0>, <__main__.GaussianBandit object at 0x00000276E01ADF10>]",gpt-4-turbo,greedy,singletoken,23,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E0908990>, <__main__.GaussianBandit object at 0x00000276E090AA90>, <__main__.GaussianBandit object at 0x00000276E090B090>]",gpt-4-turbo,greedy,singletoken,28,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E0909C90>, <__main__.GaussianBandit object at 0x00000276E090A650>, <__main__.GaussianBandit object at 0x00000276E0908710>]",gpt-4-turbo,greedy,singletoken,32,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E090A310>, <__main__.GaussianBandit object at 0x00000276E090A290>, <__main__.GaussianBandit object at 0x00000276E09085D0>]",gpt-4-turbo,greedy,singletoken,38,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E090A450>, <__main__.GaussianBandit object at 0x00000276E0908610>, <__main__.GaussianBandit object at 0x00000276E0908810>]",gpt-4-turbo,greedy,singletoken,43,0.08333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E090B750>, <__main__.GaussianBandit object at 0x00000276E0908210>, <__main__.GaussianBandit object at 0x00000276E0908B50>]",gpt-4-turbo,greedy,singletoken,47,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8AC90>, <__main__.GaussianBandit object at 0x00000276DCF8B2D0>, <__main__.GaussianBandit object at 0x00000276DCF88210>]",gpt-4-turbo,ucb,singletoken,23,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8B790>, <__main__.GaussianBandit object at 0x00000276DCF89490>, <__main__.GaussianBandit object at 0x00000276DCF89DD0>]",gpt-4-turbo,ucb,singletoken,28,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8B210>, <__main__.GaussianBandit object at 0x00000276DCF88950>, <__main__.GaussianBandit object at 0x00000276DCF88E90>]",gpt-4-turbo,ucb,singletoken,32,0.9166666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF899D0>, <__main__.GaussianBandit object at 0x00000276DCF89BD0>, <__main__.GaussianBandit object at 0x00000276DCF88510>]",gpt-4-turbo,ucb,singletoken,38,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8B950>, <__main__.GaussianBandit object at 0x00000276DCF886D0>, <__main__.GaussianBandit object at 0x00000276DCF8A790>]",gpt-4-turbo,ucb,singletoken,43,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF89950>, <__main__.GaussianBandit object at 0x00000276DCF89FD0>, <__main__.GaussianBandit object at 0x00000276DCF884D0>]",gpt-4-turbo,ucb,singletoken,47,0.16666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8B910>, <__main__.GaussianBandit object at 0x00000276DCF882D0>, <__main__.GaussianBandit object at 0x00000276DCF89C50>]",gpt-4o,random,cot,23,0.5,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF897D0>, <__main__.GaussianBandit object at 0x00000276DCF8B610>, <__main__.GaussianBandit object at 0x00000276DCF89A90>]",gpt-4o,random,cot,28,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8B6D0>, <__main__.GaussianBandit object at 0x00000276DCF8BAD0>, <__main__.GaussianBandit object at 0x00000276DCF8A110>]",gpt-4o,random,cot,32,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8B550>, <__main__.GaussianBandit object at 0x00000276DCF8A050>, <__main__.GaussianBandit object at 0x00000276DCF8BBD0>]",gpt-4o,random,cot,38,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF88310>, <__main__.GaussianBandit object at 0x00000276DCF88C10>, <__main__.GaussianBandit object at 0x00000276DCF89550>]",gpt-4o,random,cot,43,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8BE50>, <__main__.GaussianBandit object at 0x00000276DCF8B310>, <__main__.GaussianBandit object at 0x00000276DCF8B350>]",gpt-4o,random,cot,47,0.4166666666666667,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF88190>, <__main__.GaussianBandit object at 0x00000276DCF88F10>, <__main__.GaussianBandit object at 0x00000276DCF88910>]",gpt-4o,intuitive,cot,23,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCF8BB50>, <__main__.GaussianBandit object at 0x00000276DCF8BC10>, <__main__.GaussianBandit object at 0x00000276DCF8BD50>]",gpt-4o,intuitive,cot,28,0.5833333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCEE8910>, <__main__.GaussianBandit object at 0x00000276DCEEA110>, <__main__.GaussianBandit object at 0x00000276DCEE8DD0>]",gpt-4o,intuitive,cot,32,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD07B5D0>, <__main__.GaussianBandit object at 0x00000276DD078F50>, <__main__.GaussianBandit object at 0x00000276DD078B50>]",gpt-4o,intuitive,cot,38,0.5,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD07B710>, <__main__.GaussianBandit object at 0x00000276DD07AED0>, <__main__.GaussianBandit object at 0x00000276DD079190>]",gpt-4o,intuitive,cot,43,0.5833333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD07A8D0>, <__main__.GaussianBandit object at 0x00000276DD079110>, <__main__.GaussianBandit object at 0x00000276DD07B650>]",gpt-4o,intuitive,cot,47,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD07AB10>, <__main__.GaussianBandit object at 0x00000276DD079990>, <__main__.GaussianBandit object at 0x00000276DD07B410>]",gpt-4o,greedy,cot,23,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD07A2D0>, <__main__.GaussianBandit object at 0x00000276DD078350>, <__main__.GaussianBandit object at 0x00000276DD079590>]",gpt-4o,greedy,cot,28,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD079850>, <__main__.GaussianBandit object at 0x00000276DD07A650>, <__main__.GaussianBandit object at 0x00000276DD078E90>]",gpt-4o,greedy,cot,32,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD078D90>, <__main__.GaussianBandit object at 0x00000276DD078D50>, <__main__.GaussianBandit object at 0x00000276DD078810>]",gpt-4o,greedy,cot,38,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD078890>, <__main__.GaussianBandit object at 0x00000276DD0781D0>, <__main__.GaussianBandit object at 0x00000276DD0799D0>]",gpt-4o,greedy,cot,43,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD078650>, <__main__.GaussianBandit object at 0x00000276DD07B2D0>, <__main__.GaussianBandit object at 0x00000276DD07A3D0>]",gpt-4o,greedy,cot,47,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD079C10>, <__main__.GaussianBandit object at 0x00000276DD0786D0>, <__main__.GaussianBandit object at 0x00000276DD07BF10>]",gpt-4o,ucb,cot,23,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD0785D0>, <__main__.GaussianBandit object at 0x00000276DD07B210>, <__main__.GaussianBandit object at 0x00000276DD07B510>]",gpt-4o,ucb,cot,28,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD079F90>, <__main__.GaussianBandit object at 0x00000276DD07B790>, <__main__.GaussianBandit object at 0x00000276DD078310>]",gpt-4o,ucb,cot,32,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD078410>, <__main__.GaussianBandit object at 0x00000276DD078550>, <__main__.GaussianBandit object at 0x00000276DD0784D0>]",gpt-4o,ucb,cot,38,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DC6E3450>, <__main__.GaussianBandit object at 0x00000276DC6E3550>, <__main__.GaussianBandit object at 0x00000276DC6E0DD0>]",gpt-4o,ucb,cot,43,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DC6E3950>, <__main__.GaussianBandit object at 0x00000276DC6E1690>, <__main__.GaussianBandit object at 0x00000276DC6E2850>]",gpt-4o,ucb,cot,47,0.08333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DC6E09D0>, <__main__.GaussianBandit object at 0x00000276DC6E3DD0>, <__main__.GaussianBandit object at 0x00000276DC6E3850>]",gpt-4o,random,singletoken,23,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DC6E3F10>, <__main__.GaussianBandit object at 0x00000276DC6E0590>, <__main__.GaussianBandit object at 0x00000276DC6E2750>]",gpt-4o,random,singletoken,28,0.25,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DC6E0D90>, <__main__.GaussianBandit object at 0x00000276DC6E1890>, <__main__.GaussianBandit object at 0x00000276DC6E01D0>]",gpt-4o,random,singletoken,32,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DC6E3010>, <__main__.GaussianBandit object at 0x00000276DC6E27D0>, <__main__.GaussianBandit object at 0x00000276DC6E0C90>]",gpt-4o,random,singletoken,38,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DC6E2190>, <__main__.GaussianBandit object at 0x00000276DC6E1E10>, <__main__.GaussianBandit object at 0x00000276DC6E3BD0>]",gpt-4o,random,singletoken,43,0.08333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46E950>, <__main__.GaussianBandit object at 0x00000276DE46C850>, <__main__.GaussianBandit object at 0x00000276DE46F950>]",gpt-4o,random,singletoken,47,0.08333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46C190>, <__main__.GaussianBandit object at 0x00000276DE46E1D0>, <__main__.GaussianBandit object at 0x00000276DE46C8D0>]",gpt-4o,intuitive,singletoken,23,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46F1D0>, <__main__.GaussianBandit object at 0x00000276DE46DED0>, <__main__.GaussianBandit object at 0x00000276DE46CC90>]",gpt-4o,intuitive,singletoken,28,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46FE90>, <__main__.GaussianBandit object at 0x00000276DE46F9D0>, <__main__.GaussianBandit object at 0x00000276DE46CA50>]",gpt-4o,intuitive,singletoken,32,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46E850>, <__main__.GaussianBandit object at 0x00000276DE46D250>, <__main__.GaussianBandit object at 0x00000276DE46E690>]",gpt-4o,intuitive,singletoken,38,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46CFD0>, <__main__.GaussianBandit object at 0x00000276DE46DAD0>, <__main__.GaussianBandit object at 0x00000276DE46F050>]",gpt-4o,intuitive,singletoken,43,1.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46CDD0>, <__main__.GaussianBandit object at 0x00000276DE46CE90>, <__main__.GaussianBandit object at 0x00000276DE46EC50>]",gpt-4o,intuitive,singletoken,47,1.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DBC31050>, <__main__.GaussianBandit object at 0x00000276DBC30AD0>, <__main__.GaussianBandit object at 0x00000276DBC303D0>]",gpt-4o,greedy,singletoken,23,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DBC31210>, <__main__.GaussianBandit object at 0x00000276DBC32C10>, <__main__.GaussianBandit object at 0x00000276DBC30B90>]",gpt-4o,greedy,singletoken,28,0.08333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE683050>, <__main__.GaussianBandit object at 0x00000276DE6801D0>, <__main__.GaussianBandit object at 0x00000276DE680090>]",gpt-4o,greedy,singletoken,32,0.25,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE682310>, <__main__.GaussianBandit object at 0x00000276DE681F90>, <__main__.GaussianBandit object at 0x00000276DE681190>]",gpt-4o,greedy,singletoken,38,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE6824D0>, <__main__.GaussianBandit object at 0x00000276DE682810>, <__main__.GaussianBandit object at 0x00000276DE681910>]",gpt-4o,greedy,singletoken,43,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE680F10>, <__main__.GaussianBandit object at 0x00000276DE683C90>, <__main__.GaussianBandit object at 0x00000276DE683ED0>]",gpt-4o,greedy,singletoken,47,0.08333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE683850>, <__main__.GaussianBandit object at 0x00000276DE683A90>, <__main__.GaussianBandit object at 0x00000276DE680AD0>]",gpt-4o,ucb,singletoken,23,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE683AD0>, <__main__.GaussianBandit object at 0x00000276DE680610>, <__main__.GaussianBandit object at 0x00000276DE683550>]",gpt-4o,ucb,singletoken,28,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE680810>, <__main__.GaussianBandit object at 0x00000276DE683150>, <__main__.GaussianBandit object at 0x00000276DE683290>]",gpt-4o,ucb,singletoken,32,0.9166666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE683990>, <__main__.GaussianBandit object at 0x00000276DE682010>, <__main__.GaussianBandit object at 0x00000276DE682850>]",gpt-4o,ucb,singletoken,38,0.08333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE681390>, <__main__.GaussianBandit object at 0x00000276DE680FD0>, <__main__.GaussianBandit object at 0x00000276DE6823D0>]",gpt-4o,ucb,singletoken,43,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE683010>, <__main__.GaussianBandit object at 0x00000276DE681810>, <__main__.GaussianBandit object at 0x00000276DE683090>]",gpt-4o,ucb,singletoken,47,0.0,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E08E2990>, <__main__.GaussianBandit object at 0x00000276E091CCD0>, <__main__.GaussianBandit object at 0x00000276DD15B210>]",gpt-3.5-turbo,random,cot,21,0.25,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DDCEA650>, <__main__.GaussianBandit object at 0x00000276DDD8D850>, <__main__.GaussianBandit object at 0x00000276DEC15410>]",gpt-3.5-turbo,random,cot,22,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE46C0D0>, <__main__.GaussianBandit object at 0x00000276DD07BC10>, <__main__.GaussianBandit object at 0x00000276DD07A1D0>]",gpt-3.5-turbo,random,cot,24,0.16666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCEC5D50>, <__main__.GaussianBandit object at 0x00000276DCEC4B50>, <__main__.GaussianBandit object at 0x00000276DCEC6850>]",gpt-3.5-turbo,random,cot,26,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCEC7A90>, <__main__.GaussianBandit object at 0x00000276DCEC5AD0>, <__main__.GaussianBandit object at 0x00000276DCEC4910>]",gpt-3.5-turbo,random,cot,27,0.25,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD245E50>, <__main__.GaussianBandit object at 0x00000276DD244510>, <__main__.GaussianBandit object at 0x00000276DD246A90>]",gpt-3.5-turbo,random,cot,29,0.4166666666666667,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD2454D0>, <__main__.GaussianBandit object at 0x00000276DD245150>, <__main__.GaussianBandit object at 0x00000276DD246890>]",gpt-3.5-turbo,random,cot,31,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD244550>, <__main__.GaussianBandit object at 0x00000276DD244E50>, <__main__.GaussianBandit object at 0x00000276DD2449D0>]",gpt-3.5-turbo,random,cot,33,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E019ABD0>, <__main__.GaussianBandit object at 0x00000276E0199710>, <__main__.GaussianBandit object at 0x00000276E019A410>]",gpt-3.5-turbo,random,cot,34,0.5,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E0198710>, <__main__.GaussianBandit object at 0x00000276E019B410>, <__main__.GaussianBandit object at 0x00000276E0199390>]",gpt-3.5-turbo,random,cot,36,0.4166666666666667,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E019B3D0>, <__main__.GaussianBandit object at 0x00000276E0198CD0>, <__main__.GaussianBandit object at 0x00000276E0198C50>]",gpt-3.5-turbo,random,cot,37,0.25,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E01DB310>, <__main__.GaussianBandit object at 0x00000276E01D8A10>, <__main__.GaussianBandit object at 0x00000276E01D9A50>]",gpt-3.5-turbo,random,cot,39,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E01D9990>, <__main__.GaussianBandit object at 0x00000276E01D9C90>, <__main__.GaussianBandit object at 0x00000276E01DBD50>]",gpt-3.5-turbo,random,cot,41,0.25,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DCB45150>, <__main__.GaussianBandit object at 0x00000276E015B250>, <__main__.GaussianBandit object at 0x00000276E015B850>]",gpt-3.5-turbo,random,cot,44,0.4166666666666667,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E015A3D0>, <__main__.GaussianBandit object at 0x00000276E015A150>, <__main__.GaussianBandit object at 0x00000276E01583D0>]",gpt-3.5-turbo,random,cot,46,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E015A890>, <__main__.GaussianBandit object at 0x00000276E0159F50>, <__main__.GaussianBandit object at 0x00000276E015B3D0>]",gpt-3.5-turbo,random,cot,48,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E0159450>, <__main__.GaussianBandit object at 0x00000276E0158B90>, <__main__.GaussianBandit object at 0x00000276E0158910>]",gpt-3.5-turbo,intuitive,cot,21,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E0159690>, <__main__.GaussianBandit object at 0x00000276E0158950>, <__main__.GaussianBandit object at 0x00000276E015AF50>]",gpt-3.5-turbo,intuitive,cot,22,0.5,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DBBAAB50>, <__main__.GaussianBandit object at 0x00000276E015BF10>, <__main__.GaussianBandit object at 0x00000276DBBA9690>]",gpt-3.5-turbo,intuitive,cot,24,0.5833333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD60F450>, <__main__.GaussianBandit object at 0x00000276DD60CE10>, <__main__.GaussianBandit object at 0x00000276DD60F610>]",gpt-3.5-turbo,intuitive,cot,26,0.5833333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD60F410>, <__main__.GaussianBandit object at 0x00000276DD60DCD0>, <__main__.GaussianBandit object at 0x00000276DD60ECD0>]",gpt-3.5-turbo,intuitive,cot,27,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD60C0D0>, <__main__.GaussianBandit object at 0x00000276DD60F390>, <__main__.GaussianBandit object at 0x00000276DD60D490>]",gpt-3.5-turbo,intuitive,cot,29,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD60D3D0>, <__main__.GaussianBandit object at 0x00000276DD60D310>, <__main__.GaussianBandit object at 0x00000276DD60F890>]",gpt-3.5-turbo,intuitive,cot,31,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD60C890>, <__main__.GaussianBandit object at 0x00000276DD60DBD0>, <__main__.GaussianBandit object at 0x00000276DD60CE50>]",gpt-3.5-turbo,intuitive,cot,33,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD091E90>, <__main__.GaussianBandit object at 0x00000276DCEC6290>, <__main__.GaussianBandit object at 0x00000276DCEC77D0>]",gpt-3.5-turbo,intuitive,cot,34,0.5833333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE6B7990>, <__main__.GaussianBandit object at 0x00000276DE6B7DD0>, <__main__.GaussianBandit object at 0x00000276DE6B4510>]",gpt-3.5-turbo,intuitive,cot,36,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE6B6210>, <__main__.GaussianBandit object at 0x00000276DE6B6610>, <__main__.GaussianBandit object at 0x00000276DE6B4290>]",gpt-3.5-turbo,intuitive,cot,37,0.4166666666666667,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE6B66D0>, <__main__.GaussianBandit object at 0x00000276DE6B70D0>, <__main__.GaussianBandit object at 0x00000276DE6B6350>]",gpt-3.5-turbo,intuitive,cot,39,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE6B5290>, <__main__.GaussianBandit object at 0x00000276DE6B6ED0>, <__main__.GaussianBandit object at 0x00000276DE6B58D0>]",gpt-3.5-turbo,intuitive,cot,41,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE6B6650>, <__main__.GaussianBandit object at 0x00000276DE6B5690>, <__main__.GaussianBandit object at 0x00000276DE6B6A50>]",gpt-3.5-turbo,intuitive,cot,44,0.5,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE67C5D0>, <__main__.GaussianBandit object at 0x00000276DE67F410>, <__main__.GaussianBandit object at 0x00000276DE67C1D0>]",gpt-3.5-turbo,intuitive,cot,46,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE67C290>, <__main__.GaussianBandit object at 0x00000276DE67C710>, <__main__.GaussianBandit object at 0x00000276DE67EBD0>]",gpt-3.5-turbo,intuitive,cot,48,0.5,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276E015A710>, <__main__.GaussianBandit object at 0x00000276DE417F90>, <__main__.GaussianBandit object at 0x00000276DDD8C8D0>]",gpt-3.5-turbo,greedy,cot,21,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE417850>, <__main__.GaussianBandit object at 0x00000276DE415FD0>, <__main__.GaussianBandit object at 0x00000276DE415BD0>]",gpt-3.5-turbo,greedy,cot,22,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE416390>, <__main__.GaussianBandit object at 0x00000276DE417010>, <__main__.GaussianBandit object at 0x00000276DE414990>]",gpt-3.5-turbo,greedy,cot,24,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE416BD0>, <__main__.GaussianBandit object at 0x00000276DE416ED0>, <__main__.GaussianBandit object at 0x00000276DE416C50>]",gpt-3.5-turbo,greedy,cot,26,0.3333333333333333,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE417F50>, <__main__.GaussianBandit object at 0x00000276DE4158D0>, <__main__.GaussianBandit object at 0x00000276DE414C50>]",gpt-3.5-turbo,greedy,cot,27,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE415E10>, <__main__.GaussianBandit object at 0x00000276DE414310>, <__main__.GaussianBandit object at 0x00000276DE417CD0>]",gpt-3.5-turbo,greedy,cot,29,0.9166666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE414190>, <__main__.GaussianBandit object at 0x00000276DE415F90>, <__main__.GaussianBandit object at 0x00000276DE416FD0>]",gpt-3.5-turbo,greedy,cot,31,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DE4167D0>, <__main__.GaussianBandit object at 0x00000276DE416B10>, <__main__.GaussianBandit object at 0x00000276DE415DD0>]",gpt-3.5-turbo,greedy,cot,33,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD2B92D0>, <__main__.GaussianBandit object at 0x00000276DD2B8190>, <__main__.GaussianBandit object at 0x00000276DD2BBE10>]",gpt-3.5-turbo,greedy,cot,34,0.6666666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD2BABD0>, <__main__.GaussianBandit object at 0x00000276DD2BAE10>, <__main__.GaussianBandit object at 0x00000276DD2B8E10>]",gpt-3.5-turbo,greedy,cot,36,0.75,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD2BBB10>, <__main__.GaussianBandit object at 0x00000276DD2BA490>, <__main__.GaussianBandit object at 0x00000276DD2BAFD0>]",gpt-3.5-turbo,greedy,cot,37,0.9166666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DD2B9610>, <__main__.GaussianBandit object at 0x00000276DD2BA450>, <__main__.GaussianBandit object at 0x00000276DD2B96D0>]",gpt-3.5-turbo,greedy,cot,39,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DBC5C090>, <__main__.GaussianBandit object at 0x00000276DBC5E450>, <__main__.GaussianBandit object at 0x00000276DBC5EF50>]",gpt-3.5-turbo,greedy,cot,41,0.9166666666666666,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DBC5C850>, <__main__.GaussianBandit object at 0x00000276DBC5C590>, <__main__.GaussianBandit object at 0x00000276DBC5E9D0>]",gpt-3.5-turbo,greedy,cot,44,0.8333333333333334,game data removed to save disk size,
"[<__main__.GaussianBandit object at 0x00000276DBC5CD90>, <__main__.GaussianBandit object at 0x00000276DBC5EB10>, <__main__.GaussianBandit object at 0x00000276DBC5E190>]",gpt-3.5-turbo,greedy,cot,46,0.8333333333333334,game data removed to save disk size,
